id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
12748,0,1,69000,Sombor,"Okolne lokacije",85200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59098,0,1,123600,Zabalj,"Gradske lokacije",37511,NULL,NULL,NULL,NULL,1,NULL,5,NULL,NULL,NULL,NULL
50580,0,1,187000,"Backa Palanka","Gradske lokacije",25288,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL
10737,0,1,154500,"Novi Sad","Okolne lokacije",20000,NULL,NULL,NULL,NULL,NULL,"grejanje na gas",3,NULL,NULL,NULL,NULL
55403,0,1,99900,"Backa Palanka","Gradske lokacije",11206,NULL,1998,NULL,NULL,1,NULL,4,NULL,NULL,NULL,1
54513,0,1,55000,Pozega,"Gradske lokacije",10000,100,NULL,NULL,NULL,1,"TA pec",NULL,NULL,NULL,NULL,1
43564,0,1,1830000,Becej,"Gradske lokacije",7279,NULL,NULL,NULL,NULL,1,"centralno grejanje",NULL,NULL,NULL,NULL,NULL
16078,0,1,89000,Indjija,"Okolne lokacije",7199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1451,0,1,370000,"Novi Sad","Gradske lokacije",6575,NULL,NULL,NULL,NULL,1,NULL,3,NULL,NULL,NULL,NULL
3837,0,1,35000,Nis,"Gradske lokacije",5760,NULL,NULL,NULL,NULL,1,"kaljeva pec",NULL,1,1,NULL,1
12225,0,1,35000,Nis,"Gradske lokacije",5760,NULL,NULL,NULL,NULL,1,"kaljeva pec",NULL,1,1,NULL,1
17544,0,1,20000,Paracin,"Gradske lokacije",4824,NULL,NULL,NULL,NULL,1,"centralno grejanje",2,1,NULL,NULL,NULL
1398,0,1,36000,"Novi Sad","Gradske lokacije",4441,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
692,0,1,79310,"Novi Sad","Gradske lokacije",4000,NULL,NULL,NULL,NULL,1,NULL,3,NULL,NULL,NULL,1
25560,0,1,1100000,"Novi Sad","Gradske lokacije",3800,NULL,NULL,NULL,NULL,1,NULL,4,NULL,NULL,NULL,NULL
6486,0,1,61800,Indjija,"Okolne lokacije",3650,NULL,1971,NULL,NULL,1,NULL,3,NULL,NULL,NULL,1
58631,0,1,134000,Zabalj,"Gradske lokacije",3470,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
27893,0,1,62000,Nis,"Gradske lokacije",3300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
39773,0,1,62000,Nis,"Gradske lokacije",3300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
